Day Count,Date,Alberta Health Services Zone,Case Count,Death Count
74,5/18/2020,Calgary Zone,4446,104
74,5/18/2020,Central Zone,85,0
74,5/18/2020,Edmonton Zone,496,13
74,5/18/2020,North Zone,220,15
74,5/18/2020,South Zone,1220,9
74,5/18/2020,Unknown,11,0
75,5/19/2020,Calgary Zone,4481,106
75,5/19/2020,Central Zone,85,0
75,5/19/2020,Edmonton Zone,497,13
75,5/19/2020,North Zone,221,15
75,5/19/2020,South Zone,1224,10
75,5/19/2020,Unknown,11,0
76,5/20/2020,Calgary Zone,4520,106
76,5/20/2020,Central Zone,85,0
76,5/20/2020,Edmonton Zone,499,13
76,5/20/2020,North Zone,221,15
76,5/20/2020,South Zone,1228,10
76,5/20/2020,Unknown,11,0
77,5/21/2020,Calgary Zone,4542,106
77,5/21/2020,Central Zone,85,0
77,5/21/2020,Edmonton Zone,499,13
77,5/21/2020,North Zone,223,15
77,5/21/2020,South Zone,1232,10
77,5/21/2020,Unknown,11,0
78,5/22/2020,Calgary Zone,4566,106
78,5/22/2020,Central Zone,85,0
78,5/22/2020,Edmonton Zone,499,13
78,5/22/2020,North Zone,224,15
78,5/22/2020,South Zone,1237,10
78,5/22/2020,Unknown,11,0
79,5/23/2020,Calgary Zone,4587,106
79,5/23/2020,Central Zone,85,0
79,5/23/2020,Edmonton Zone,500,13
79,5/23/2020,North Zone,225,15
79,5/23/2020,South Zone,1239,10
79,5/23/2020,Unknown,11,0
80,5/24/2020,Calgary Zone,4616,106
80,5/24/2020,Central Zone,85,0
80,5/24/2020,Edmonton Zone,502,13
80,5/24/2020,North Zone,225,15
80,5/24/2020,South Zone,1245,10
80,5/24/2020,Unknown,11,0
81,5/25/2020,Calgary Zone,4639,106
81,5/25/2020,Central Zone,85,0
81,5/25/2020,Edmonton Zone,502,13
81,5/25/2020,North Zone,225,15
81,5/25/2020,South Zone,1245,10
81,5/25/2020,Unknown,11,0
82,5/26/2020,Calgary Zone,4651,106
82,5/26/2020,Central Zone,85,0
82,5/26/2020,Edmonton Zone,504,13
82,5/26/2020,North Zone,226,15
82,5/26/2020,South Zone,1246,10
82,5/26/2020,Unknown,11,0
83,5/27/2020,Calgary Zone,4666,106
83,5/27/2020,Central Zone,85,0
83,5/27/2020,Edmonton Zone,507,13
83,5/27/2020,North Zone,227,15
83,5/27/2020,South Zone,1246,10
83,5/27/2020,Unknown,11,0
84,5/28/2020,Calgary Zone,4689,107
84,5/28/2020,Central Zone,85,0
84,5/28/2020,Edmonton Zone,508,13
84,5/28/2020,North Zone,231,15
84,5/28/2020,South Zone,1246,10
84,5/28/2020,Unknown,11,0
85,5/29/2020,Calgary Zone,4714,108
85,5/29/2020,Central Zone,85,0
85,5/29/2020,Edmonton Zone,518,13
85,5/29/2020,North Zone,231,15
85,5/29/2020,South Zone,1246,10
85,5/29/2020,Unknown,11,0
86,5/30/2020,Calgary Zone,4734,108
86,5/30/2020,Central Zone,85,0
86,5/30/2020,Edmonton Zone,523,13
86,5/30/2020,North Zone,235,15
86,5/30/2020,South Zone,1246,10
86,5/30/2020,Unknown,11,0
87,5/31/2020,Calgary Zone,4748,108
87,5/31/2020,Central Zone,85,0
87,5/31/2020,Edmonton Zone,532,13
87,5/31/2020,North Zone,235,15
87,5/31/2020,South Zone,1250,10
87,5/31/2020,Unknown,11,0
88,6/1/2020,Calgary Zone,4772,108
88,6/1/2020,Central Zone,85,0
88,6/1/2020,Edmonton Zone,535,13
88,6/1/2020,North Zone,235,15
88,6/1/2020,South Zone,1250,10
88,6/1/2020,Unknown,11,0
89,6/2/2020,Calgary Zone,4790,108
89,6/2/2020,Central Zone,85,0
89,6/2/2020,Edmonton Zone,540,13
89,6/2/2020,North Zone,240,15
89,6/2/2020,South Zone,1252,10
89,6/2/2020,Unknown,12,0
90,6/3/2020,Calgary Zone,4797,109
90,6/3/2020,Central Zone,85,0
90,6/3/2020,Edmonton Zone,542,13
90,6/3/2020,North Zone,240,15
90,6/3/2020,South Zone,1253,10
90,6/3/2020,Unknown,12,0
91,6/4/2020,Calgary Zone,4811,109
91,6/4/2020,Central Zone,85,0
91,6/4/2020,Edmonton Zone,550,13
91,6/4/2020,North Zone,240,15
91,6/4/2020,South Zone,1254,10
91,6/4/2020,Unknown,12,0
92,6/5/2020,Calgary Zone,4825,109
92,6/5/2020,Central Zone,85,0
92,6/5/2020,Edmonton Zone,572,13
92,6/5/2020,North Zone,241,15
92,6/5/2020,South Zone,1256,10
92,6/5/2020,Unknown,12,0
